,upload_date,extractor,height,playlist_index,view_count,playlist,title,dislike_count,width,uploader_url,acodec,display_id,format,uploader,uploader_id,categories,extractor_key,vcodec,channel_id,webpage_url,abr,fps,channel_url,thumbnail,webpage_url_basename,tags,format_id,ext
0,20181120,youtube,720,1,314,Uploads from High Plains Harvesting,2018 High Plains Harvesting Corn Harvest,,1280,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,mp4a.40.2,Tl3ceh1RIvc,136 - 1280x720 (DASH video)+140 - audio only (DASH audio),High Plains Harvesting,UCzkLUqHN9Ov0fwbh2QF0sGQ,[u'People & Blogs'],Youtube,avc1.4d401f,UCzkLUqHN9Ov0fwbh2QF0sGQ,https://www.youtube.com/watch?v=Tl3ceh1RIvc,128,30,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,https://i.ytimg.com/vi/Tl3ceh1RIvc/maxresdefault.jpg,Tl3ceh1RIvc,"[u'harvest', u'corn harvest', u'combines', u'John Deere', u'High Plains Harvesting', u'field corn', u'Kansas', u'High Plains Agriculture & Transport Inc.']",136+140,mp4
1,20180714,youtube,1080,2,496,Uploads from High Plains Harvesting,High Plains Harvesting 2018 - Montana Bound,0,1920,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,mp4a.40.2,fJGXTCc_u6A,137 - 1920x1080 (DASH video)+140 - audio only (DASH audio),High Plains Harvesting,UCzkLUqHN9Ov0fwbh2QF0sGQ,[u'People & Blogs'],Youtube,avc1.640028,UCzkLUqHN9Ov0fwbh2QF0sGQ,https://www.youtube.com/watch?v=fJGXTCc_u6A,128,30,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,https://i.ytimg.com/vi/fJGXTCc_u6A/maxresdefault.jpg,fJGXTCc_u6A,"[u'wheat', u'harvest 2018', u'harvest', u'High Plains Harvesting', u'wheaties', u'custom harvesters']",137+140,mp4
2,20180714,youtube,720,3,23,Uploads from High Plains Harvesting,High Plains Harvesting - Racing the Storm - 2018,0,406,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,mp4a.40.2,q_wmJl7ggeQ,136 - 406x720 (DASH video)+140 - audio only (DASH audio),High Plains Harvesting,UCzkLUqHN9Ov0fwbh2QF0sGQ,[u'People & Blogs'],Youtube,avc1.4d4016,UCzkLUqHN9Ov0fwbh2QF0sGQ,https://www.youtube.com/watch?v=q_wmJl7ggeQ,128,30,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,https://i.ytimg.com/vi/q_wmJl7ggeQ/hqdefault.jpg,q_wmJl7ggeQ,"[u'High Plains Harvesting', u'Storm', u'Harvest', u'wheat harvest']",136+140,mp4
3,20180714,youtube,1080,4,243,Uploads from High Plains Harvesting,Southeastern Colorado 2018,,1920,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,mp4a.40.2,DXkv6lZ3H2s,137 - 1920x1080 (DASH video)+140 - audio only (DASH audio),High Plains Harvesting,UCzkLUqHN9Ov0fwbh2QF0sGQ,[u'People & Blogs'],Youtube,avc1.640028,UCzkLUqHN9Ov0fwbh2QF0sGQ,https://www.youtube.com/watch?v=DXkv6lZ3H2s,128,30,http://www.youtube.com/channel/UCzkLUqHN9Ov0fwbh2QF0sGQ,https://i.ytimg.com/vi/DXkv6lZ3H2s/maxresdefault.jpg,DXkv6lZ3H2s,"[u'wheat', u'wheat harvest', u'John Deere', u'Shelbourne Reynolds', u'High Plains Harvesting', u'agriculture', u'harvest', u'All Aboard Wheat Harvest', u'High Plains', u'Great Plains', u'conservation']",137+140,mp4
